speaker_id,speaker_number,speaker_sex,language,language_variety,filename,segment_start,segment_end,duration,timepoint,textgrid_label,segment_type,vowel_quality,phonation,vowel_nasality,tone_contour,number_of_tone_targets,tone_category,language_specific_tone,consonant_aspiration,consonant_nasality,strF0,sF0,pF0,shrF0,sF1,sB1,sF2,sB2,sF3,sB3,sF4,sB4,pF1,pF2,pF3,pF4,H1u,H1c,H2u,H2c,H4u,H4c,A1u,A1c,A2u,A2c,A3u,A3c,H1H2u,H1H2c,H2H4u,H2H4c,H1A1u,H1A1c,H1A2u,H1A2c,H1A3u,H1A3c,Energy,HNR05,HNR15,HNR25,HNR35,CPP,SHR,tone_misc,CQ,CQ_H,CQ_HT,CQ_PM,min_Vel,min_Vel_Time,peak_Vel,peak_Vel_Time,SQ2_SQ1,SQ4_SQ3,ratio,LPhon,SQ,token_id
Luchun_M5,5,M,Luchun,,M5_na33_02,161.497,455.392,293.895,5,a33,Vowel,a,Lax,Oral,33.0,1.0,Mid,33,Unaspirated,Nasal,105.179,104.986,105.889,105.558,836.741,294.045,1400.398,258.96,3230.582,350.046,3903.629,399.633,1012.679,1460.065,3602.693,4830.159,8.508,8.318,10.979,10.203,11.914,8.517,19.16,-11.637,17.2,-8.517,-6.426,-2.008,-2.471,-1.885,-0.935,1.686,-10.652,19.998,-8.691,16.835,14.935,10.326,3.234,45.625,36.981,36.552,34.939,27.654,0.0,mid,0.576,0.506,0.611,0.559,-343.526,310.156,1045.757,304.827,0.761,3.852,0.198,Luchun-Lax,0.197559709241952,4354876588377518656
Luchun_M5,5,M,Luchun,,M5_na55_02,235.006,621.14,386.134,5,a55,Vowel,a,Lax,Oral,55.0,1.0,High,55,Unaspirated,Nasal,129.11,129.034,129.887,129.361,834.853,183.147,1407.742,129.059,2833.076,341.703,3838.861,143.542,955.501,1493.645,3664.082,5899.501,17.683,17.393,20.432,19.234,24.568,18.999,29.78,-0.327,25.004,0.024,2.185,1.783,-2.749,-1.841,-4.136,0.236,-12.097,17.748,-7.321,17.369,15.498,15.61,25.705,26.652,21.056,25.01,25.549,25.828,0.726,high,0.7,0.629,0.646,0.641,-406.662,430.782,691.272,425.806,1.393,1.834,0.327,Luchun-Lax,0.759541984732824,-4223612452106731360
Luchun_M5,5,M,Luchun,,M5_ne_33_01,325.445,664.417,338.972,5,e_33,Vowel,e,Tense,Oral,33.0,1.0,Mid,33,Unaspirated,Nasal,119.911,119.924,119.723,123.125,625.765,139.087,1976.755,149.293,2763.75,197.01,4087.029,221.666,1819.78,2632.683,3938.456,4659.179,10.61,10.252,16.812,15.304,23.517,15.382,16.296,-9.027,21.025,8.766,20.068,13.953,-6.203,-5.052,-6.705,-0.078,-5.686,19.281,-10.416,1.486,-9.459,-3.701,9.522,51.349,50.293,46.215,43.919,33.913,0.432,mid,0.605,0.479,0.624,0.446,-182.669,496.266,679.705,492.546,1.147,2.002,0.17,Luchun-Tense,0.572927072927073,-7742077004718849419
Luchun_M5,5,M,Luchun,,M5_ne_33_02,198.664,547.158,348.494,5,e_33,Vowel,e,Tense,Oral,33.0,1.0,Mid,33,Unaspirated,Nasal,116.273,116.274,116.403,228.457,689.461,91.938,1965.133,125.686,2644.853,293.869,4022.946,232.49,1701.994,2611.039,3798.305,4697.163,11.85,11.566,18.209,17.024,21.966,16.145,27.28,0.937,22.753,8.408,22.397,12.137,-6.359,-5.459,-3.756,0.88,-15.43,10.63,-10.903,3.158,-10.546,-0.571,14.195,47.939,46.04,42.839,39.385,34.109,0.363,mid,0.623,0.494,0.619,0.535,-179.42,375.135,631.001,370.532,1.415,1.69,0.225,Luchun-Tense,0.837278106508876,-3723462953035324402
Luchun_M5,5,M,Luchun,,M5_ne33_01,203.042,577.648,374.606,5,e33,Vowel,e,Lax,Oral,33.0,1.0,Mid,33,Unaspirated,Nasal,118.638,118.601,118.238,238.224,678.079,85.831,1892.001,186.678,2626.136,196.619,4179.527,274.772,816.699,2402.261,3670.739,5555.432,20.821,20.515,23.46,22.183,29.367,22.969,32.208,5.983,22.887,8.091,21.332,12.611,-2.639,-1.668,-5.907,-0.786,-11.387,14.534,-2.066,12.424,-0.512,7.904,30.24,37.641,35.132,32.345,30.746,32.403,0.221,mid,0.604,0.506,0.532,0.534,-481.889,393.165,935.847,388.665,2.13,3.185,0.669,Luchun-Lax,0.668759811616954,-2339718712103476350
Luchun_M5,5,M,Luchun,,M5_ne33_02,279.136,650.992,371.856,5,e33,Vowel,e,Lax,Oral,33.0,1.0,Mid,33,Unaspirated,Nasal,115.971,115.909,116.358,160.561,652.599,124.21,1881.966,175.805,2711.45,178.691,4179.577,267.122,1184.178,2436.164,3751.855,5267.046,20.369,20.051,23.561,22.228,28.475,21.678,28.626,2.768,20.008,6.005,16.288,9.879,-3.192,-2.178,-4.914,0.55,-8.257,17.285,0.361,14.046,4.081,10.172,19.654,36.386,34.553,30.971,29.304,30.593,0.41,mid,0.596,0.552,0.6,0.562,-590.406,467.611,1262.717,462.759,1.353,3.157,0.428,Luchun-Lax,0.428571428571429,-2562944468545506086
Luchun_M5,5,M,Luchun,,M5_nga_31_02,266.883,519.743,252.86,5,a_31,Vowel,a,Tense,Oral,31.0,2.0,Mid,31,Unaspirated,Nasal,83.135,80.531,209.881,166.804,934.561,107.933,1376.295,146.796,2755.237,245.981,3582.961,530.126,1036.105,1523.797,3170.728,5083.466,1.991,1.88,2.481,2.033,5.535,3.658,24.533,-9.094,18.475,-11.311,-1.963,-5.711,-0.491,-0.153,-3.053,-1.625,-22.543,11.01,-16.485,13.191,3.954,7.591,5.011,13.138,5.642,12.197,14.992,18.872,0.427,low,0.532,0.442,0.702,0.292,-63.224,391.356,242.633,387.88,0.891,4.493,0.204,Luchun-Tense,0.198308479857556,6807252454542428372
Luchun_M5,5,M,Luchun,,M5_nga31_02,242.223,570.119,327.896,5,a31,Vowel,a,Lax,Oral,31.0,2.0,Mid,31,Unaspirated,Nasal,97.376,97.309,99.833,98.427,871.049,113.539,1355.129,166.05,3192.976,447.379,3928.146,250.885,1004.759,1538.46,3707.959,4478.166,14.022,13.859,16.725,16.062,13.509,10.66,27.768,-4.259,21.644,-6.1,-1.272,2.496,-2.703,-2.203,3.216,5.402,-13.746,18.174,-7.622,19.959,15.295,11.363,10.95,19.768,12.368,16.602,19.072,24.447,0.052,low,0.484,0.388,0.556,0.324,-221.99,405.577,1167.715,402.248,1.459,4.006,0.368,Luchun-Lax,0.364203694458313,1127706444494681142
Luchun_M5,5,M,Luchun,,M5_sa_31_01,268.793,544.756,275.963,5,a_31,Vowel,a,Tense,Oral,31.0,2.0,Mid,31,Unaspirated,Oral,90.418,60.203,443.45,130.143,884.806,56.678,1309.463,125.822,2524.856,148.677,3847.254,661.516,1001.531,2357.061,3100.803,3677.736,3.586,3.443,5.448,4.869,6.541,4.081,25.727,-7.217,18.648,-10.453,10.049,4.145,-1.862,-1.426,-1.094,0.788,-22.142,10.686,-15.062,13.896,-6.463,-0.702,6.455,16.246,8.288,13.203,14.802,19.852,0.244,low,0.576,0.476,0.742,0.461,-49.763,407.237,260.545,402.162,1.148,1.558,0.137,Luchun-Tense,0.736842105263158,-6998216601520102910
Luchun_M5,5,M,Luchun,,M5_sa_31_02,283.889,566.495,282.606,5,a_31,Vowel,a,Tense,Oral,31.0,2.0,Mid,31,Unaspirated,Oral,88.055,,453.969,214.795,897.403,49.09,1373.691,92.827,2688.281,127.467,3288.925,1106.023,1056.975,1902.003,2885.868,4457.097,4.392,4.264,4.927,4.41,8.787,6.604,26.559,-6.287,20.719,-7.957,9.569,4.853,-0.535,-0.145,-3.86,-2.194,-22.167,10.578,-16.327,12.221,-5.177,-0.588,10.095,17.498,8.009,12.508,13.374,20.971,0.303,low,0.56,0.486,0.76,0.423,-46.553,425.252,250.7,420.43,1.088,4.826,0.224,Luchun-Tense,0.225445503522586,-9039518011135941641
