speaker_id,speaker_number,speaker_sex,language,language_variety,filename,segment_start,segment_end,duration,timepoint,textgrid_label,segment_type,vowel_quality,phonation,vowel_nasality,tone_contour,number_of_tone_targets,tone_category,language_specific_tone,consonant_aspiration,consonant_nasality,strF0,sF0,pF0,shrF0,sF1,sB1,sF2,sB2,sF3,sB3,sF4,sB4,pF1,pF2,pF3,pF4,H1u,H1c,H2u,H2c,H4u,H4c,A1u,A1c,A2u,A2c,A3u,A3c,H1H2u,H1H2c,H2H4u,H2H4c,H1A1u,H1A1c,H1A2u,H1A2c,H1A3u,H1A3c,Energy,HNR05,HNR15,HNR25,HNR35,CPP,SHR,tone_misc,CQ,CQ_H,CQ_HT,CQ_PM,min_Vel,min_Vel_Time,peak_Vel,peak_Vel_Time,SQ2_SQ1,SQ4_SQ3,ratio,LPhon,SQ,token_id
Yi_M3,3,M,Yi,Village 1,M3_ti55_02,117.477,365.768,248.291,5,i55,Vowel,i,Lax,Oral,55.0,1.0,High,55,Unaspirated,Oral,161.004,161.22,161.483,161.856,344.782,68.101,2416.525,107.09,3258.955,143.208,3734.419,275.205,367.131,2514.7,3420.607,5290.346,22.196,19.992,26.167,11.156,6.21,13.713,26.165,9.3,7.278,11.499,5.532,13.005,-3.97,8.836,19.956,-2.557,-3.969,10.692,14.919,8.493,16.664,6.987,6.929,30.69,43.27,44.545,41.705,28.605,0.899,high,0.367,0.357,0.437,0.321,-602.855,242.37,1292.774,240.377,0.445,1.399,0.319,Yi-Lax,0.318084345961401,6481937612143851093
Yi_M3,3,M,Yi,Village 2,M3_tl_be21_01,94.018,271.975,177.957,5,e21,Vowel,e,Lax,Oral,21.0,2.0,Low,21,Unaspirated,Oral,117.857,117.912,121.165,119.349,423.391,82.415,1360.742,86.813,2391.758,113.01,3594.848,324.158,818.371,1838.984,3499.847,,30.095,29.29,29.763,26.082,32.813,21.473,32.008,9.886,19.31,8.387,5.67,10.45,0.332,3.208,-3.05,4.609,-1.913,19.406,10.784,20.904,24.425,18.84,49.603,3.165,8.768,13.97,19.582,25.578,0.568,low,0.548,0.491,0.487,0.452,-368.014,184.516,606.598,180.673,1.296,2.688,0.493,Yi-Lax,0.482142857142857,7352598114103582011
Yi_M3,3,M,Yi,Village 2,M3_tl_be21_02,76.673,239.967,163.294,5,e21,Vowel,e,Lax,Oral,21.0,2.0,Low,21,Unaspirated,Oral,111.229,111.448,114.578,228.639,445.538,30.797,1301.025,90.104,2411.227,127.411,3546.274,136.44,510.571,1875.064,3723.765,,24.843,24.206,29.755,26.94,38.772,15.831,38.769,15.428,19.638,6.69,5.478,10.335,-4.912,-2.734,-9.016,11.11,-13.926,8.78,5.206,17.516,19.366,13.871,71.977,2.279,7.731,14.688,19.963,27.972,0.35,low,0.618,0.486,0.601,0.591,-238.196,161.323,893.87,155.956,1.55,4.293,0.361,Yi-Lax,0.361052876776147,-2381874264928520205
Yi_M3,3,M,Yi,Village 2,M3_tl_cjie_21_01,346.642,531.436,184.794,5,ie21,Vowel,ie,Tense,Oral,21.0,2.0,Low,21,Unaspirated,Oral,127.747,130.142,136.615,131.402,394.061,35.778,2242.849,66.941,3154.601,205.271,4154.542,120.741,407.077,2443.902,4057.552,4800.475,18.467,17.405,25.931,20.672,17.762,15.223,32.376,11.997,13.16,12.188,10.718,15.612,-7.463,-3.267,8.168,5.449,-13.908,5.409,5.307,5.217,7.749,1.792,20.568,4.742,16.037,17.617,17.952,24.627,0.0,low,0.635,0.513,0.73,0.395,-89.935,439.138,470.454,436.035,0.484,4.183,0.114,Yi-Tense,0.115706430791298,-219556987179715501
Yi_M3,3,M,Yi,Village 2,M3_tl_cjie21_01,250.944,465.338,214.394,5,ie21,Vowel,ie,Lax,Oral,21.0,2.0,Low,21,Unaspirated,Oral,126.422,126.459,130.605,128.007,339.419,57.904,2124.661,132.253,2537.424,772.84,3413.925,639.645,285.183,2236.476,3618.482,5016.52,26.194,24.759,33.209,25.346,19.065,21.448,28.279,10.995,16.779,17.805,8.776,6.542,-7.015,-0.587,14.144,3.899,-2.085,13.764,9.414,6.954,17.418,18.217,32.027,6.064,18.359,18.254,19.386,26.042,0.191,low,0.609,0.489,0.543,0.538,-352.097,360.627,1029.156,356.328,1.429,1.822,0.245,Yi-Lax,0.78430296377607,29477075101283847
Yi_M3,3,M,Yi,Village 2,M3_tl_cjie21_02,281.406,475.534,194.128,5,ie21,Vowel,ie,Lax,Oral,21.0,2.0,Low,21,Unaspirated,Oral,119.47,119.729,123.933,120.989,342.025,46.258,2077.821,82.628,2504.082,566.694,3239.155,389.656,797.2,2553.888,3872.299,4920.496,25.507,24.311,31.849,25.734,19.636,19.398,33.685,15.633,21.498,21.288,12.132,7.705,-6.341,-1.423,12.213,6.336,-8.177,8.678,4.01,3.023,13.375,16.606,34.352,5.851,17.454,16.28,16.153,27.03,0.0,low,0.597,0.426,0.501,0.391,-330.428,379.728,1029.102,376.388,1.686,3.539,0.476,Yi-Lax,0.476405764340209,4059033370003709727
Yi_M3,3,M,Yi,Village 2,M3_tl_de_21_01,74.055,202.11,128.055,5,e21,Vowel,e,Tense,Oral,21.0,2.0,Low,21,Unaspirated,Oral,136.088,135.71,141.924,137.885,457.308,100.47,1496.689,186.561,2808.811,98.479,4323.101,342.236,542.734,2332.683,4229.264,4469.188,22.243,21.285,27.96,23.423,29.941,23.414,35.718,13.364,11.236,1.164,3.515,12.432,-5.716,-2.137,-1.981,0.008,-13.474,7.925,11.007,20.121,18.728,8.854,45.459,6.99,10.887,17.801,21.706,24.859,0.0,low,0.669,0.629,0.75,0.399,-107.459,136.402,373.676,133.466,0.627,3.628,0.173,Yi-Tense,0.172822491730981,9218449937148350016
Yi_M3,3,M,Yi,Village 2,M3_tl_de21_01,107.468,270.941,163.473,5,e21,Vowel,e,Lax,Oral,21.0,2.0,Low,21,Unaspirated,Oral,119.399,119.974,123.572,218.931,478.915,31.245,1458.385,110.981,2459.255,82.457,3515.902,494.821,557.441,2324.713,3105.032,4433.127,26.569,25.931,30.746,27.922,40.067,17.354,40.064,16.38,20.362,7.954,14.62,16.579,-4.177,-1.991,-9.321,10.568,-13.495,9.553,6.207,17.977,11.949,9.352,111.372,4.794,8.2,11.087,14.068,23.937,0.37,low,0.63,0.509,0.567,0.564,-245.227,191.759,930.42,186.989,1.446,4.074,0.355,Yi-Lax,0.354933726067747,4378369967654362983
Yi_M3,3,M,Yi,Village 2,M3_tl_de21_02,117.508,287.165,169.657,5,e21,Vowel,e,Lax,Oral,21.0,2.0,Low,21,Unaspirated,Oral,118.137,118.043,121.689,149.251,464.185,35.547,1426.315,108.803,2489.495,96.424,3566.608,377.172,552.626,2301.821,3888.773,5406.139,26.644,25.979,29.977,27.02,37.127,16.454,37.124,13.692,17.713,5.49,11.479,15.145,-3.333,-1.041,-7.149,10.566,-10.48,12.289,8.931,20.489,15.166,10.834,72.97,6.964,11.071,14.418,16.396,20.671,0.489,low,0.618,0.506,0.582,0.501,-220.429,203.554,1005.532,199.279,1.463,4.012,0.364,Yi-Lax,0.364656031904287,6140592731854451867
Yi_M3,3,M,Yi,Village 2,M3_tl_du_21_01,75.459,224.791,149.332,5,u21,Vowel,u,Tense,Oral,21.0,2.0,Low,21,Unaspirated,Oral,130.579,129.944,136.611,132.199,297.4,73.359,850.261,157.617,2823.482,245.151,4020.09,122.541,748.354,2813.121,4065.155,,21.531,19.463,28.639,16.167,15.608,18.391,28.368,12.087,15.134,6.039,-5.266,21.031,-7.108,3.296,13.031,-2.224,-6.836,7.388,6.398,13.424,26.797,-1.568,8.901,5.27,12.55,20.739,23.833,21.038,0.923,low,0.615,0.526,0.687,0.363,-140.079,150.345,397.523,147.512,0.779,3.625,0.215,Yi-Tense,0.214896551724138,1005778738064758051
