"speaker_id","speaker_number","speaker_sex","language","language_variety","filename","segment_start","segment_end","duration","timepoint","textgrid_label","segment_type","vowel_quality","phonation","vowel_nasality","tone_contour","number_of_tone_targets","tone_category","language_specific_tone","consonant_aspiration","consonant_nasality","strF0","sF0","pF0","shrF0","sF1","sB1","sF2","sB2","sF3","sB3","sF4","sB4","pF1","pF2","pF3","pF4","H1u","H1c","H2u","H2c","H4u","H4c","A1u","A1c","A2u","A2c","A3u","A3c","H1H2u","H1H2c","H2H4u","H2H4c","H1A1u","H1A1c","H1A2u","H1A2c","H1A3u","H1A3c","Energy","HNR05","HNR15","HNR25","HNR35","CPP","SHR","tone_misc","CQ","CQ_H","CQ_HT","CQ_PM","min_Vel","min_Vel_Time","peak_Vel","peak_Vel_Time","SQ2_SQ1","SQ4_SQ3","ratio","LPhon","SQ"
"Gujarati_M1","1","M","Gujarati",NA,"2008-11-19-1300-04_Audio",3454.455,3636.715,182.26,5,"a","Vowel","a","Modal","Oral",NA,NA,NA,NA,"Unaspirated",NA,117.204,117.488,118.37,117.207,615.997,330.106,1486.162,332.547,2464.535,137.172,3232.31,334.544,655.917,1449.448,3543.804,4660.986,18.045,17.662,16.235,14.622,6.082,-2.576,12.782,-13.093,2.722,-20.257,-12.026,-16.806,1.809,3.04,10.154,17.199,5.263,30.758,15.322,37.919,30.071,34.468,1.59,18.113,20.221,26.18,29.258,19.338,0,NA,0.482,0.441,0.391,0.355,-151.533,3546.564,461.719,3543.527,1.502,2.698,0.558,"Gujarati-Modal",0.556708673091179
"Gujarati_M1","1","M","Gujarati",NA,"2008-11-19-1300-04_Audio",5380.901,5561.467,180.566,5,"a","Vowel","a","Modal","Oral",NA,NA,NA,NA,"Unaspirated",NA,117.669,117.732,118.35,117.778,680.545,479.812,1276.376,647.212,2469.972,192.065,3610.533,254.446,699.629,1216.881,3383.004,4713.433,18.029,17.686,14.805,13.376,9.316,2.283,12.247,-16.119,-15.518,-18.77,-16.085,-16.723,3.224,4.31,5.49,11.093,5.783,33.816,33.548,36.456,34.114,34.409,1.56,32.451,31.363,34.38,34.935,21.834,0,NA,0.462,0.414,0.359,0.3,-168.731,5472.193,483.494,5469.646,1.157,2.707,0.427,"Gujarati-Modal",0.427410417436276
"Gujarati_M1","1","M","Gujarati",NA,"2008-11-19-1300-04_Audio",7383.187,7568.751,185.564,5,"a","Vowel","a","Modal","Oral",NA,NA,NA,NA,"Unaspirated",NA,120.144,119.517,122.698,120.637,642.433,432.803,1225.156,481.976,2392.889,201.991,3574.028,514.794,670.242,1254.677,3566.749,4766.485,19.736,19.316,15.046,13.28,10.323,0.908,-0.679,-14.658,-16.497,-22.04,-17.185,-16.125,4.69,6.036,4.723,12.373,20.415,33.984,36.233,41.357,36.922,35.441,1.93,18.979,22.14,28.884,32.182,20.008,0,NA,0.476,0.411,0.354,0.305,-173.763,7477.186,423.59,7474.632,1.379,2.74,0.503,"Gujarati-Modal",0.503284671532847
"Gujarati_M1","1","M","Gujarati",NA,"2008-11-19-1300-04_Audio",9515.303,9697.173,181.870000000001,5,"a","Vowel","a","Modal","Oral",NA,NA,NA,NA,"Unaspirated",NA,117.455,117.443,118.825,117.637,347.491,228.376,1134.19,275.334,1424.004,198.228,2191.816,357.985,659.265,1288.053,3508.086,4666.71,20.271,19.266,17.63,12.828,11.275,5.442,16.605,-4.852,5.941,-4.17,-13.297,-14.367,2.641,6.438,6.355,7.387,3.666,24.118,14.33,23.436,33.568,33.633,2.641,29.214,30.06,33.994,35.994,22.907,0,NA,0.474,0.418,0.368,0.329,-169.004,9607.543,489.704,9604.305,1.309,3.084,0.425,"Gujarati-Modal",0.424448767833982
"Gujarati_M1","1","M","Gujarati",NA,"2008-11-19-1300-05_Audio",466.76,635.618,168.858,5,"a=","Vowel","a","Breathy","Oral",NA,NA,NA,NA,"Unaspirated",NA,122.803,123.141,122.479,122.576,555.403,204.087,1359.138,263.485,2480.864,276.875,3731.896,463.62,658.113,1409.271,2831.809,4496.628,25.088,24.6,21.93,19.842,20.02,6.953,23.023,-2.277,10.383,-6.253,-5.222,-3.495,3.158,4.758,1.91,12.889,2.065,26.882,14.705,30.853,30.31,28.095,9.35,32.616,32.762,35.098,36.554,25.672,0,NA,0.36,0.371,0.382,0.331,-363.243,554.12,979.252,552.172,1.859,1.914,0.971,"Gujarati-Breathy",0.971264367816092
"Gujarati_M1","1","M","Gujarati",NA,"2008-11-19-1300-05_Audio",2542.902,2697.74,154.838,5,"a=","Vowel","a","Breathy","Oral",NA,NA,NA,NA,"Unaspirated",NA,117.958,117.754,118.056,118.554,586.218,150.092,1429.554,255.384,2189.818,440.024,3444.838,501.279,613.636,1472.568,2812.816,4830.682,21.982,21.568,20.609,18.857,16.283,6.548,21.016,-4.673,8.912,-8.21,-6.24,-13.05,1.373,2.711,4.326,12.309,0.966,26.243,13.07,29.778,28.222,34.617,4.982,46.085,41.586,40.814,40.056,26.769,0,NA,0.415,0.426,0.456,0.368,-227.991,2622.551,879.253,2619.884,1.671,2.636,0.634,"Gujarati-Breathy",0.63391502276176
"Gujarati_M1","1","M","Gujarati",NA,"2008-11-19-1300-05_Audio",4618.083,4793.588,175.505,5,"a=","Vowel","a","Breathy","Oral",NA,NA,NA,NA,"Unaspirated",NA,116.547,116.66,116.209,116.236,455.893,149.8,1547.12,213.938,2271.03,328.1,3522.796,306.24,667.906,1526.593,3081.11,4681.919,22.776,22.14,21.256,18.431,17.197,-4.545,21.559,-5.864,10.771,-3.333,-3.5,-6.304,1.521,3.709,4.058,22.976,1.218,28.005,12.006,25.473,26.277,28.445,6.154,48.805,47.037,47.903,46.803,29.631,0,NA,0.422,0.434,0.477,0.334,-212.154,4707.675,926.748,4704.811,1.486,2.859,0.519,"Gujarati-Breathy",0.51976215459951
"Gujarati_M1","1","M","Gujarati",NA,"2008-11-19-1300-05_Audio",6793.678,6969.93,176.252,5,"a=","Vowel","a","Breathy","Oral",NA,NA,NA,NA,"Unaspirated",NA,116.085,116.279,115.466,115.748,434.786,172.382,1349.255,237.361,2189.971,254.879,3583.893,229.562,717.211,1584.38,3236.449,4482.507,21.919,21.226,19.834,16.734,16.448,-1.362,19.859,-6.305,10.997,-0.675,-2.851,-3.091,2.085,4.492,3.386,18.097,2.06,27.532,10.922,21.901,24.77,24.317,5.225,45.61,43.668,45.164,44.769,29.274,0,NA,0.401,0.414,0.457,0.34,-224.763,6883.421,924.041,6880.5,1.182,2.749,0.43,"Gujarati-Breathy",0.42997453619498
"Gujarati_M1","1","M","Gujarati",NA,"2008-11-19-1300-05_Audio",8908.058,9097.759,189.700999999999,5,"a=","Vowel","a","Breathy","Oral",NA,NA,NA,NA,"Unaspirated",NA,113.037,113.425,112.372,112.416,444.465,294.332,1420.962,258.772,2435.652,543.891,3069.336,382.151,614.016,1275.059,3379.34,4783.96,22.841,22.256,18.775,16.201,17.011,-3.462,16.712,-6.373,5.379,-8.173,-13.972,-10.428,4.067,6.054,1.764,19.663,6.129,28.63,17.462,30.428,36.813,32.683,4.353,35.032,33.112,35.575,36.082,24.992,0,NA,0.321,0.335,0.384,0.253,-239.701,9005.535,831.423,9003.31,0.639,2.149,0.295,"Gujarati-Breathy",0.297347603536529
"Gujarati_M1","1","M","Gujarati",NA,"2008-11-19-1300-06_Audio",2491.242,2653.099,161.857,5,"a","Vowel","a","Modal","Oral",NA,NA,NA,NA,"Unaspirated",NA,115.969,116.181,115.782,115.609,721.049,185.179,1457.246,236.454,2458.264,329.9,4505.651,225.609,697.215,1536.122,3815.007,4769.44,16.083,15.805,15.437,14.286,7.042,1.616,13.992,-14.1,-0.607,-21.764,-16.628,-21.991,0.646,1.519,8.396,12.67,2.091,29.911,16.691,37.569,32.711,37.796,1.37,52.301,47.958,45.611,45.271,25.206,0,NA,0.496,0.474,0.409,0.334,-194.78,2573.593,526.246,2570.727,1.328,2.775,0.478,"Gujarati-Modal",0.478558558558559
